asset_tag,asset_name,category,status,location,item_lifespan,disposal_method,acquisition_date
IL-MSE-N/A-097,MOUSE (ACER),MOUSE (ACER),Assigned,PAD SERVER,5,,
IL-MSE-N/A-098,Mouse(A4TECH),Mouse(A4TECH),Assigned,PAD SERVER,5,,
IL-MSE-N/A-099,Mouse(A4TECH),Mouse(A4TECH),Assigned,ECDIS SERVER,5,,
IL-MSE-N/A-100,Mouse(A4TECH),Mouse(A4TECH),Assigned,ECDIS SERVER,5,,
IL-MSE-N/A-101,MOUSE (ACER),MOUSE (ACER),Assigned,ECDIS SERVER,5,,
IL-MSE-N/A-102,MOUSE (PHILLIPS),MOUSE (PHILLIPS),Assigned,ECDIS SERVER,5,,
IL-MSE-N/A-103,MOUSE (LENOVO),MOUSE (LENOVO),Assigned,ECDIS SERVER,5,,
IL-MSE-N/A-104,MOUSE (LENOVO),MOUSE (LENOVO),Assigned,ECDIS SERVER / AMANGS,5,,
IL-MSE-N/A-105,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,ANNEX SERVER,5,,
IL-MSE-N/A-106,MOUSE (ACER),MOUSE (ACER),Assigned,ROOM 101,5,,
IL-MSE-N/A-107,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,ROOM 101,5,,
IL-MSE-N/A-108,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,ROOM 101,5,,
IL-MSE-N/A-109,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,ROOM 101,5,,
IL-MSE-N/A-110,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,ROOM 101,5,,
IL-MSE-N/A-111,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,ROOM 101,5,,
IL-MSE-N/A-112,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,POTOTAN SITE,5,,
IL-MSE-N/A-113,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,POTOTAN SITE,5,,
IL-MSE-N/A-114,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,POTOTAN SITE,5,,
IL-MSE-N/A-115,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,POTOTAN SITE,5,,
IL-MSE-N/A-116,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,POTOTAN SITE,5,,
IL-MSE-N/A-117,MOUSE(RAPOO),MOUSE(RAPOO),Assigned,POTOTAN SITE,5,,
IL-MSE-N/A-118,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,POTOTAN SITE,5,,
IL-MSE-N/A-119,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,ROOM 101 SITE,5,,
IL-MSE-N/A-120,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,ROOM 102 SITE,5,,
IL-MSE-N/A-121,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,CONFERENCE SITE,5,,
IL-MSE-N/A-122,MOUSE(A4TECH),MOUSE(A4TECH),Assigned,ROOM 108,5,,
IL-MSE-2025-123,MOUSE(LOGITECH),MOUSE(LOGITECH),Assigned,TRAINING,5,,
IL-MSE-2025-124,MOUSE(LOGITECH),MOUSE(LOGITECH),Assigned,108 - IGF SIMULATOR,5,,
IL-MSE-2025-125,MOUSE(LOGITECH),MOUSE(LOGITECH),Assigned,108 - IGF SIMULATOR,5,,
IL-MSE-2025-126,MOUSE(LOGITECH),MOUSE(LOGITECH),Assigned,108 - IGF SIMULATOR,5,,
IL-MSE-2025-127,MOUSE(LOGITECH),MOUSE(LOGITECH),Assigned,108 - IGF SIMULATOR,5,,
IL-MSE-2025-128,MOUSE(LOGITECH),MOUSE(LOGITECH),Assigned,108 - IGF SIMULATOR,5,,
IL-MSE-2025-129,MOUSE(LOGITECH),MOUSE(LOGITECH),Assigned,108 - IGF SIMULATOR,5,,
IL-MSE-2025-130,MOUSE(LOGITECH),MOUSE(LOGITECH),Assigned,108 - IGF SIMULATOR,5,,
IL-MSE-N/A-131,MOUSE(RTM019),MOUSE(RTM019),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-N/A-001,UPS (SECURE),UPS (SECURE),Assigned,PAD DEPT,5,,
IL-UPS-N/A-002,UPS (INTEX),UPS (INTEX),Assigned,PAD DEPT,5,,
IL-UPS-N/A-003,UPS (AWP),UPS (AWP),Assigned,ROOM 302,5,,
IL-UPS-N/A-004,UPS (AWP),UPS (AWP),Assigned,ROOM 203,5,,
IL-UPS-N/A-005,UPS (SECURE),UPS (SECURE),Assigned,ROOM 204,5,,
IL-UPS-N/A-006,UPS (ABLEREX),UPS (ABLEREX),Assigned,ERS INSTRUCTOR,5,,
IL-UPS-N/A-007,UPS (AWP),UPS (AWP),Assigned,ERS Station 1,5,,
IL-UPS-N/A-008,UPS (ABLEREX),UPS (ABLEREX),Assigned,ERS Station 2,5,,
IL-UPS-N/A-009,UPS (CYBERPOWER),UPS (CYBERPOWER),Assigned,ERS Station 3,5,,
IL-UPS-N/A-010,UPS (ABLEREX),UPS (ABLEREX),Assigned,ERS Station 4,5,,
IL-UPS-N/A-011,UPS (ABLEREX),UPS (ABLEREX),Assigned,ERS Station 5,5,,
IL-UPS-N/A-012,UPS (ABLEREX),UPS (ABLEREX),Assigned,ERS Station 6,5,,
IL-UPS-N/A-013,UPS (ABLEREX),UPS (ABLEREX),Assigned,ERS Station 7,5,,
IL-UPS-N/A-014,UPS (AWP),UPS (AWP),Assigned,ERS Station 8,5,,
IL-UPS-N/A-015,UPS (AWP),UPS (AWP),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-N/A-016,UPS (AWP),UPS (AWP),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-N/A-017,UPS (cyber),UPS (cyber),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-N/A-018,UPS (AWP),UPS (AWP),Assigned,INSTRUCTOR BRIDGE,5,,
IL-UPS-N/A-019,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 1,5,,
IL-UPS-N/A-020,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 1,5,,
IL-UPS-N/A-021,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 1,5,,
IL-UPS-N/A-022,UPS (EMERSON),UPS (EMERSON),Assigned,BRIDGE 1,5,,
